date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2015-12-31,585.13,96.27,67.19,67.17,45.62,80.55,2.25,123.05,40.61,315.64,32.51,69.48,99.32,176.08,44.88,64.95,56.66,114.67,325.67,155.46,40.39,18.52,60.1,140.28,39.11,57.99,70.76,51.61,146.56,109.31,168.05,26.02,64.84,173.8,49.54,31.09,55.92,44.23,44.14,303.56,148.14,53.94,519.55,532.65,80.91,156.78,80.76,134.69,163.36,26.5,284.72,247.03,57.19,186.96,29.39,89.48,67.38,67.78,110.41,110.98,72.55,104.44,53.89,293.36,94.24,114.15,148.74,60.73,441.84,46.8,48.71,112.87,15.38,165.19,146.78,199.36,215.91,136.17,44.24,75.08,83.84,89.2,43.3,42.58,60.3,193.66,48.14,56.6,31.8,30.77,56.45,112.11,67.74,86.7,75.27,170.77,188.81,279.22,183.74,327.08
2016-03-31,601.01,92.31,61.8,62.82,42.5,62.51,2.26,112.9,43.41,279.6,37.04,59.01,83.6,140.2,39.76,63.97,56.33,106.62,350.0,122.87,44.61,20.56,63.14,148.67,36.28,50.12,65.96,45.03,120.62,113.27,178.38,24.37,65.32,162.17,55.59,34.91,53.6,37.23,40.45,295.27,127.04,48.59,512.17,524.51,69.2,160.6,86.04,145.65,152.76,25.12,298.33,219.74,95.45,200.78,32.67,76.32,67.45,66.43,104.8,111.72,62.95,106.79,48.37,324.39,101.21,122.56,146.77,47.09,436.04,54.5,43.77,104.32,15.91,153.81,148.19,182.29,221.31,152.07,46.94,76.05,82.58,87.88,37.01,47.38,64.26,241.76,45.46,56.04,31.38,30.48,57.82,122.84,67.14,93.76,70.5,166.19,220.65,245.46,212.82,349.24
2016-06-30,520.36,100.54,57.96,74.2,49.73,58.9,4.08,114.26,48.27,338.49,57.13,56.99,82.51,137.06,41.67,61.93,56.43,122.83,357.23,123.6,44.28,41.92,65.43,157.73,32.5,54.28,65.28,51.36,138.33,102.44,196.24,26.5,69.78,158.57,59.11,33.5,49.94,45.53,42.39,285.81,111.37,43.81,474.93,482.78,64.17,166.96,88.79,145.31,155.11,25.93,333.02,228.4,107.68,195.96,32.11,83.29,75.22,68.19,96.69,103.97,70.86,111.57,43.82,326.38,106.28,134.75,159.46,48.48,405.52,60.15,39.2,93.76,19.08,169.68,152.87,213.65,228.52,157.77,44.18,78.8,84.63,83.7,33.46,50.09,67.98,266.78,47.56,58.2,35.59,29.72,62.9,134.28,73.06,95.44,69.57,160.36,227.77,239.82,210.24,391.65
2016-09-30,618.48,102.93,62.44,71.85,51.01,63.57,5.63,124.61,48.22,396.88,64.14,58.92,82.28,160.41,42.36,72.72,59.49,90.1,356.48,136.02,51.9,73.23,66.13,159.38,35.99,54.16,71.09,55.72,154.27,95.04,192.84,24.42,54.26,151.27,55.15,35.1,47.97,43.71,47.16,263.74,104.6,49.24,534.43,552.84,68.12,170.73,89.04,151.54,178.71,29.08,322.68,242.23,109.02,182.61,34.54,84.89,71.56,72.65,111.54,97.06,68.35,122.0,48.9,368.26,106.51,123.42,172.56,58.93,448.65,56.67,42.27,96.37,30.49,169.79,156.41,205.46,240.05,150.79,49.45,101.65,83.56,79.67,41.8,49.66,65.05,250.48,43.86,62.78,38.45,30.4,70.39,133.28,80.85,95.8,73.34,179.46,212.03,223.32,226.86,364.66
2016-12-31,613.69,101.57,56.73,74.23,51.23,71.26,9.47,109.37,44.93,355.44,62.32,69.12,98.93,227.28,49.79,72.56,62.57,97.65,402.13,171.64,54.19,59.47,58.36,166.38,44.05,62.45,65.75,51.9,154.23,84.67,220.45,27.83,53.8,165.92,53.64,35.84,48.19,50.98,52.61,285.19,95.89,53.65,530.84,545.03,102.34,149.34,88.54,158.59,171.56,28.05,315.36,315.72,106.27,178.98,33.48,77.84,74.81,58.19,113.37,104.0,68.98,113.19,59.31,329.39,107.98,131.99,162.83,78.12,481.9,55.32,53.09,83.07,38.28,164.94,150.56,197.77,218.32,141.9,47.76,96.37,89.69,80.92,52.26,46.78,55.56,262.33,39.18,55.73,47.3,30.82,73.19,152.36,86.3,101.23,88.25,165.56,217.79,278.46,216.29,377.02
2017-03-31,750.74,104.06,76.71,76.19,58.53,61.23,13.66,120.92,51.93,422.88,79.6,71.12,108.52,238.25,49.17,87.56,62.52,90.38,411.41,165.42,54.5,88.05,64.75,178.44,41.8,62.0,77.8,54.42,154.06,80.86,201.79,33.9,59.38,179.16,57.41,38.53,46.28,51.33,56.49,259.68,88.84,53.22,573.69,586.3,94.76,169.09,95.29,164.11,170.36,30.48,337.11,316.37,110.52,181.94,33.86,88.85,77.6,64.31,121.24,106.12,65.87,104.31,57.59,410.67,114.43,138.48,174.42,77.15,508.77,60.01,63.65,94.49,59.07,174.92,159.74,205.47,230.31,175.22,51.75,84.69,89.04,84.85,54.52,49.43,53.81,256.2,37.24,60.06,53.46,45.12,80.4,156.47,85.95,93.78,87.24,187.87,199.0,278.78,206.96,346.33
2017-06-30,748.2,115.65,84.61,77.1,70.13,57.88,11.79,126.42,56.54,463.67,88.99,74.97,119.01,242.93,52.85,91.9,68.64,91.6,418.09,183.19,63.42,88.75,65.52,184.01,39.99,54.37,79.18,60.8,170.52,81.99,196.25,35.63,58.68,165.96,58.51,38.32,44.5,51.56,59.39,234.2,92.51,52.29,628.8,643.3,90.11,187.01,101.86,143.82,158.92,32.05,356.11,326.67,104.31,191.64,37.92,86.83,80.09,72.74,129.95,124.3,65.61,114.57,59.01,437.84,124.52,143.58,175.22,79.81,533.93,65.57,64.45,87.85,61.75,186.78,164.92,200.13,226.42,182.4,64.51,81.62,96.31,84.42,57.48,47.78,50.4,232.61,30.85,68.04,50.37,59.74,76.47,178.74,87.57,96.43,87.43,196.84,182.3,276.49,228.17,344.8
2017-09-30,804.08,141.91,93.05,81.08,76.56,55.78,12.2,135.74,58.67,462.41,100.39,79.42,152.09,258.41,54.89,89.68,72.37,104.47,244.36,195.21,73.94,92.28,64.16,180.78,41.05,60.68,68.72,64.65,157.56,82.62,221.21,41.15,59.72,154.56,58.74,40.35,47.54,57.45,61.29,209.52,105.81,58.35,665.13,675.26,94.45,176.98,108.03,134.84,178.52,35.26,349.02,337.6,94.46,192.01,40.03,90.11,89.08,65.09,150.1,126.17,61.27,114.36,55.19,496.21,125.44,121.45,174.61,85.55,574.17,68.79,78.42,86.56,97.02,209.17,158.79,212.45,232.04,172.4,76.96,76.57,91.51,77.85,58.57,49.29,50.05,241.37,31.13,74.92,51.25,57.06,88.56,189.58,92.14,103.76,89.6,221.42,202.12,272.92,240.61,350.14
2017-12-31,865.25,154.35,99.3,91.15,89.58,55.44,9.79,127.12,61.09,561.35,106.88,87.69,177.68,300.97,55.2,85.14,83.3,100.81,489.32,200.8,93.26,86.25,66.53,188.56,48.22,67.02,80.77,73.38,169.35,73.95,235.73,42.46,64.58,162.56,58.88,44.48,49.65,62.03,60.87,151.59,93.63,60.05,725.05,729.9,102.31,193.63,116.88,143.11,217.0,38.66,376.13,379.81,94.71,196.0,44.28,88.85,92.4,66.44,161.5,138.97,64.76,109.11,54.08,511.91,140.63,137.18,153.62,93.4,659.51,73.22,82.9,98.3,124.71,204.09,170.89,216.23,232.81,163.97,88.56,94.56,100.78,81.61,68.78,48.09,53.5,239.66,32.15,75.0,52.83,51.68,103.5,212.52,107.07,103.78,89.85,235.91,216.17,301.2,260.27,355.97
2018-03-31,843.07,150.59,105.06,99.48,102.9,49.41,9.73,120.53,63.24,700.51,101.69,80.13,193.48,309.57,52.4,100.58,87.35,103.29,492.53,172.91,88.13,74.0,62.75,158.31,46.65,69.95,83.81,81.45,204.54,63.21,216.22,53.72,68.4,150.96,54.31,43.21,44.03,66.04,65.47,117.05,98.53,51.17,716.84,720.56,98.0,236.66,108.47,141.26,243.42,42.98,343.72,380.31,75.93,185.23,41.49,81.08,96.48,87.87,184.09,123.68,62.14,116.3,47.54,464.35,130.88,118.35,146.8,93.89,702.6,76.88,128.23,108.82,147.23,208.86,154.99,211.41,200.0,154.37,90.44,82.12,99.39,80.75,70.34,45.15,47.94,219.64,41.13,83.0,52.2,45.01,102.12,206.72,104.37,90.64,83.43,245.82,196.25,256.06,319.27,318.58
