date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2015-12-31,4.12,16.5,2.62,9.4,6.5,0.65,-5.52,3.37,5.0,23.73,5.64,2.85,13.51,0.56,0.91,7.13,1.57,5.92,0.64,0.53,2.11,-447.57,-1094.48,2.1,0.68,1.09,5.42,10.81,1.84,2.24,0.75,3.13,1.95,3.5,0.85,3.22,1.24,2.55,3.28,2.0,5.44,1.03,4.32,4.43,0.73,16.66,3.48,5.9,2.11,22.81,3.13,0.76,0.91,5.42,5.49,5.45,16.85,6.86,17.01,12.2,2.09,1.61,0.51,6.68,4.92,22.19,2.5,0.62,5.07,1.68,22.01,7.6,3.33,3.09,9.25,2.02,2.69,-7.53,3.22,1.91,2.26,12.49,2.9,1.31,7.37,0.75,2.77,2.59,1.9,29.11,4.4,2.9,2.66,25.4,1.17,5.42,6.68,1.1,1.86,1.22
2016-03-31,4.17,13.73,2.51,7.62,6.02,0.55,-4.49,3.06,5.07,18.94,5.69,2.47,17.9,0.44,0.81,7.01,1.59,5.48,0.68,0.41,2.28,-94.09,-704.57,2.25,0.64,0.97,4.98,9.09,1.5,2.42,0.82,3.17,1.93,3.32,0.97,3.58,1.18,2.25,3.13,2.17,6.41,0.94,4.13,4.22,0.64,20.28,3.76,6.24,1.99,36.24,3.25,0.68,0.98,6.06,5.55,4.55,16.94,7.26,17.97,23.23,1.86,1.7,0.42,6.87,5.32,25.16,2.57,0.49,5.18,1.88,18.9,7.63,3.45,2.89,10.22,1.89,2.88,-8.96,3.43,1.97,2.28,14.42,2.28,1.46,7.72,0.87,2.61,2.6,1.81,31.69,4.7,3.08,2.73,28.12,1.1,5.36,7.03,0.96,2.11,1.31
2016-06-30,3.73,12.45,2.38,8.7,6.85,0.51,-9.89,2.96,5.83,20.46,1.99,2.4,114.59,0.42,0.85,6.6,1.59,6.13,0.69,0.41,2.35,1.21,1574.07,2.36,0.57,1.1,4.73,9.16,1.7,2.29,0.93,3.2,2.02,3.26,1.04,3.37,1.06,2.79,3.22,2.26,5.03,0.86,3.7,3.76,0.59,21.52,3.8,5.96,2.03,19.41,3.66,0.7,1.28,5.56,5.25,5.13,20.19,8.06,15.68,131.47,2.13,1.74,0.37,6.47,5.53,24.39,2.84,0.5,4.98,2.07,16.23,6.87,4.44,3.05,9.63,2.28,3.09,-9.46,3.19,2.03,2.3,12.34,2.0,1.49,8.33,0.97,2.94,2.68,2.01,12.47,5.05,3.26,2.99,26.93,1.08,4.59,7.11,0.92,2.28,1.5
2016-09-30,4.33,11.13,2.56,7.89,6.99,0.56,16.62,3.18,5.9,22.31,2.25,2.47,34.88,0.49,0.84,7.34,1.67,4.29,0.68,0.45,2.71,1.44,238.06,2.37,0.63,1.15,4.91,9.1,1.87,2.07,0.93,2.87,2.24,2.98,0.96,3.71,1.02,2.73,3.48,2.2,4.43,0.9,3.98,4.12,0.63,21.1,3.75,5.79,2.3,23.14,3.55,0.75,1.31,5.35,5.55,4.94,23.41,8.86,16.98,-48.7,2.06,1.95,0.42,6.79,5.52,24.05,3.06,0.61,5.76,1.9,16.72,7.19,6.71,3.12,9.65,2.19,3.25,-9.57,3.48,2.53,2.24,11.36,2.43,1.34,7.99,0.92,2.94,2.84,2.12,11.4,5.49,3.14,3.35,26.19,1.13,5.07,6.31,0.86,2.44,1.4
2016-12-31,4.26,15.26,2.36,8.43,6.84,0.69,25.49,2.87,5.39,18.5,2.45,2.91,101.53,0.7,1.01,7.28,1.75,4.53,0.74,0.57,3.41,1.54,2807.92,2.46,0.76,1.37,4.62,7.66,1.9,1.79,1.08,3.75,2.25,3.38,0.95,3.77,1.12,3.1,4.25,2.52,3.58,1.01,3.82,3.93,0.92,21.88,3.73,5.67,2.12,28.13,3.58,0.97,1.29,5.94,5.61,5.04,36.68,7.49,18.78,-37.65,2.26,1.85,0.59,5.6,6.51,5.96,3.16,0.81,6.35,1.84,19.87,6.14,7.1,2.99,10.57,2.26,3.22,-8.62,3.24,2.47,2.52,11.86,2.89,1.29,7.41,0.97,2.78,2.52,2.56,6.23,5.62,3.55,3.61,177.32,1.37,4.93,5.99,1.1,2.3,1.49
2017-03-31,5.19,14.87,2.13,8.05,7.72,0.65,33.51,3.15,5.85,19.5,2.89,3.02,646.02,0.74,1.0,8.03,1.77,4.72,0.74,0.56,3.34,1.75,-10695.37,2.6,0.76,1.36,5.25,7.43,1.9,1.89,0.99,4.42,2.41,3.67,1.01,3.92,1.04,3.01,4.49,2.42,3.16,0.99,3.95,4.03,0.89,31.73,3.86,5.94,2.09,36.53,3.89,0.98,1.34,6.16,5.22,5.81,40.13,8.53,20.54,-43.6,2.15,1.74,0.57,6.59,6.58,6.58,3.44,0.8,6.67,1.9,21.42,6.79,10.94,3.05,10.92,2.4,3.42,-11.1,3.52,2.18,2.56,12.87,2.9,1.31,7.57,0.96,2.62,2.7,2.78,7.88,6.16,3.21,3.71,128.11,1.36,5.77,5.31,1.1,2.19,1.32
2017-06-30,5.25,13.92,2.33,7.99,8.97,0.63,28.34,3.19,6.79,19.97,3.21,3.16,-55.86,0.75,1.06,7.85,1.93,4.76,0.73,0.62,3.8,1.87,621.45,2.79,0.71,1.38,6.96,7.7,2.07,1.91,0.97,4.14,2.31,3.53,1.04,3.93,0.96,2.87,4.58,2.21,3.01,0.97,4.23,4.33,0.85,39.41,4.12,5.23,1.91,17.91,4.05,1.01,1.26,6.84,5.57,5.68,48.98,11.4,21.17,-52.3,2.15,1.89,0.58,6.56,6.82,6.78,3.51,0.82,5.57,2.07,20.73,6.44,10.0,3.09,10.55,2.38,3.26,-11.96,4.3,2.12,2.72,12.36,2.97,1.37,7.9,0.87,2.27,2.98,2.52,9.71,5.85,3.53,3.82,58.3,1.36,5.83,4.61,1.08,2.6,1.3
2017-09-30,5.53,15.49,2.54,7.65,9.36,0.63,23.66,3.4,6.98,18.75,3.56,3.36,125.68,0.83,1.08,7.29,2.01,5.44,0.79,0.66,4.01,2.12,201.74,2.71,0.72,1.55,5.56,7.69,1.9,1.9,1.11,4.31,2.28,3.17,1.04,3.83,1.01,3.07,4.5,1.62,3.17,1.15,4.23,4.29,0.9,41.79,4.27,4.64,2.1,24.61,3.89,1.05,1.14,6.89,5.47,5.63,34.01,10.25,22.26,-30.47,1.99,1.88,0.75,6.94,6.59,5.92,3.65,0.88,5.93,2.14,23.59,6.66,16.14,3.34,9.56,2.46,3.43,-12.18,4.99,2.05,2.47,12.14,2.95,1.37,8.04,0.92,2.29,3.02,2.48,9.92,6.64,3.61,4.13,52.62,1.39,6.35,4.87,1.07,2.66,1.31
2017-12-31,5.77,22.22,2.83,8.57,10.54,0.68,16.68,4.06,7.62,20.38,3.75,4.22,96.95,0.97,1.08,7.41,2.19,6.57,0.76,0.75,5.83,1.69,229.98,2.28,0.88,1.67,6.43,8.33,2.08,1.58,1.18,4.03,2.38,3.33,1.06,4.43,1.0,3.24,4.5,1.5,3.48,1.41,4.75,4.78,1.0,64.38,5.83,5.51,2.63,30.57,5.17,1.18,1.03,8.26,6.3,7.16,-98.3,10.18,27.97,-33.0,2.1,1.78,0.7,6.87,7.79,5.3,3.56,0.97,7.82,2.13,23.23,7.72,19.53,3.25,12.63,2.15,3.51,-11.02,5.52,3.29,2.76,12.16,3.39,1.4,8.7,0.82,2.39,2.95,2.37,10.04,8.25,3.87,3.66,78.76,1.38,6.72,3.35,1.17,2.9,1.31
2018-03-31,6.18,31.31,2.96,8.86,11.94,0.65,13.62,5.97,7.86,22.26,2.84,3.71,141.34,0.98,1.02,9.35,2.31,6.3,0.76,0.67,4.94,1.57,526.86,1.91,0.84,1.81,6.28,7.98,3.17,1.33,1.08,5.26,2.44,3.01,0.98,4.27,0.89,3.11,4.77,1.18,3.64,1.29,4.44,4.47,0.99,135.97,5.15,5.37,2.92,35.47,4.54,1.21,0.83,6.93,5.6,5.21,-731.24,13.07,30.91,-22.35,2.01,1.95,0.66,5.95,7.68,4.65,3.54,0.98,8.27,1.84,31.93,10.29,19.74,3.88,11.56,2.11,3.03,-10.24,6.13,2.89,2.65,14.78,3.31,1.28,8.28,0.78,2.92,3.13,2.23,8.5,8.01,3.72,3.72,52.15,1.3,6.86,2.65,1.02,3.46,1.18
