date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2015-12-31,23.84,40.42,37.91,92.85,91.46,49.41,2.87,125.47,79.23,33.71,9.63,60.7,129.6,13.92,32.63,1263.78,274.8,51.41,132.04,39.94,54.0,183.1,53.96,23.25,61.09,35.5,136.65,77.36,21.74,75.61,61.38,66.75,67.48,99.14,49.07,37.49,8.75,138.75,112.6,170.6,73.13,27.71,37.81,38.76,151.41,100.12,83.26,88.08,27.23,90.69,80.87,51.44,49.48,32.3,92.37,71.92,172.2,62.64,92.38,95.37,37.13,59.78,31.59,104.26,92.67,32.53,40.25,24.68,49.11,21.01,114.38,59.69,0.69,33.99,76.88,21.3,61.86,55.78,36.2,38.59,77.69,50.29,29.4,31.79,124.18,15.17,59.38,138.34,38.39,16.0,43.24,102.74,64.78,71.42,31.4,72.92,29.26,41.88,15.92,52.12
2016-03-31,24.82,39.41,35.54,86.83,85.15,43.36,2.85,116.71,83.66,29.61,10.49,53.83,114.84,11.22,29.29,1277.67,276.79,48.02,141.88,32.26,61.6,202.43,57.56,25.28,59.05,30.86,127.35,67.76,18.07,80.58,65.91,66.41,69.04,93.69,56.04,43.06,8.66,120.0,108.26,175.47,66.7,25.93,37.11,38.01,132.45,102.28,90.59,97.92,25.8,89.19,85.8,46.46,53.82,35.15,103.24,61.89,176.99,61.05,89.85,102.23,33.36,61.7,29.05,113.67,103.25,35.34,40.66,19.52,49.23,24.11,102.23,55.72,0.72,32.21,79.41,19.76,64.68,62.91,38.6,39.86,81.54,50.18,25.08,35.54,133.81,17.51,56.15,138.23,37.59,15.32,45.64,113.04,66.35,78.9,30.06,72.05,34.66,37.55,18.61,56.4
2016-06-30,21.9,43.13,33.6,104.02,99.47,42.67,5.14,119.21,93.75,35.7,11.47,53.78,118.46,11.05,31.03,1237.48,280.14,55.58,144.79,32.79,61.61,228.64,59.97,27.1,54.42,33.6,126.66,75.46,21.08,74.68,73.19,73.07,73.62,92.29,60.24,41.67,8.16,144.88,116.06,175.07,60.91,23.65,34.48,35.05,125.87,109.49,94.54,99.07,26.39,94.48,96.87,49.11,61.03,34.61,102.07,68.14,199.66,65.0,83.9,98.6,37.99,64.65,26.58,113.85,109.23,39.23,44.64,20.38,45.94,26.76,91.48,50.09,0.87,35.34,82.7,23.68,67.08,65.88,36.51,42.15,84.09,48.18,22.71,37.26,140.88,19.56,62.13,144.4,42.46,14.15,50.12,124.39,73.26,81.2,30.06,70.0,36.17,37.04,18.9,63.78
2016-09-30,26.04,44.32,36.37,100.55,102.31,48.14,6.91,131.45,93.98,41.76,12.78,56.69,121.15,13.09,32.01,1458.6,298.26,40.75,144.47,36.67,72.84,269.97,61.06,27.69,61.92,33.7,138.37,81.43,23.62,69.72,72.61,68.01,75.49,88.24,56.77,43.94,7.92,145.21,129.33,166.0,58.12,26.86,38.73,40.06,137.15,113.64,95.24,104.58,30.6,104.21,94.97,53.04,62.16,32.58,109.74,69.88,194.19,70.65,97.17,95.25,36.81,71.93,29.95,127.78,110.6,36.32,48.72,25.33,52.03,25.28,98.55,52.44,1.4,36.37,85.51,22.97,71.66,63.63,40.97,54.36,83.81,45.83,28.39,36.02,135.49,18.59,59.31,155.6,45.85,13.6,56.45,123.91,82.36,83.02,32.18,78.19,34.01,34.93,20.77,59.9
2016-12-31,26.81,44.41,33.24,105.5,102.81,53.25,11.34,116.0,88.12,37.4,13.48,65.9,144.27,18.56,38.19,1453.22,314.98,44.47,162.98,46.29,76.78,287.92,54.19,29.06,75.6,39.11,128.53,74.82,23.93,62.13,83.87,77.83,75.09,99.78,55.69,45.36,8.06,169.16,144.62,178.43,52.93,29.78,38.45,39.48,204.26,100.81,95.74,110.26,29.62,102.42,93.26,69.23,61.08,32.19,107.1,64.46,203.85,57.52,98.77,101.28,37.33,67.66,36.64,114.61,112.8,39.19,46.3,33.58,56.51,24.88,123.8,45.67,1.75,35.6,82.87,22.25,67.66,60.57,39.47,52.15,90.99,47.21,35.57,34.95,117.32,19.7,54.54,138.17,56.44,14.25,59.12,142.2,88.08,87.63,38.75,73.92,35.32,43.84,20.07,62.49
2017-03-31,33.4,46.7,38.69,108.21,118.34,51.16,14.55,131.06,101.34,44.22,15.88,70.67,165.32,19.87,38.23,1764.38,319.46,41.65,166.68,46.73,77.43,327.32,60.96,31.64,75.44,39.1,152.12,78.75,24.17,62.18,77.24,94.91,82.64,108.56,59.5,49.07,7.86,170.66,157.48,169.61,50.59,30.53,41.33,42.24,196.48,114.28,103.75,116.6,29.67,112.01,101.48,70.86,63.94,33.24,109.11,74.21,219.73,63.37,107.81,108.65,36.43,63.09,36.19,141.51,121.64,41.73,50.34,34.2,60.25,26.93,147.81,52.33,2.69,37.87,89.21,23.67,72.87,75.42,43.02,46.29,93.69,49.88,36.86,35.78,114.69,19.48,51.6,150.56,63.39,18.55,65.69,146.27,90.49,82.66,39.05,84.35,32.61,44.58,19.26,57.3
2017-06-30,33.62,52.49,42.6,111.1,141.86,51.49,12.48,138.57,111.43,48.28,17.66,75.56,186.28,20.5,41.47,1854.14,354.0,42.99,169.37,52.39,90.43,336.85,62.08,33.03,72.28,34.66,161.66,85.74,27.04,64.14,75.83,99.5,81.67,101.73,61.27,49.27,7.65,171.78,167.4,155.01,53.14,30.49,45.27,46.32,190.44,130.46,111.31,104.01,27.96,118.62,108.49,74.15,60.7,35.42,121.95,73.08,229.43,73.91,116.64,129.18,36.68,69.32,37.93,150.41,133.16,43.86,51.16,35.74,63.41,29.61,149.41,48.66,2.58,40.53,92.74,23.47,71.23,79.14,53.67,45.02,102.51,50.02,38.88,34.81,109.05,17.9,45.11,171.16,59.49,24.11,63.12,166.05,93.55,85.87,39.59,89.17,30.23,44.68,21.86,56.93
2017-09-30,36.13,64.89,47.02,116.71,155.16,50.83,12.75,151.02,115.66,47.95,19.81,81.45,240.91,21.52,43.29,1814.79,376.91,49.52,183.32,57.24,105.71,363.42,61.35,32.66,74.41,39.7,140.87,90.39,25.19,65.25,86.26,114.91,83.15,95.09,62.14,52.35,8.29,190.44,174.45,140.16,61.22,35.61,47.78,48.51,204.26,125.75,118.94,99.13,31.79,130.32,107.31,77.91,55.37,35.83,128.56,76.44,257.96,67.77,135.86,132.93,34.72,70.41,40.41,170.22,135.03,37.75,51.47,38.84,68.89,31.17,181.35,48.83,4.02,45.12,90.1,25.19,74.94,75.52,64.03,42.73,98.03,46.28,39.66,36.16,109.79,18.83,46.26,185.76,60.51,22.74,74.0,176.06,100.19,93.95,41.09,100.23,33.94,44.8,23.41,58.38
2017-12-31,39.81,71.12,50.53,133.39,181.47,49.59,10.28,141.81,121.32,58.33,21.28,89.76,280.99,25.18,44.18,1722.52,435.23,47.9,198.22,58.81,134.36,335.96,63.89,34.13,87.93,43.78,166.25,101.88,27.59,58.56,92.77,119.61,90.11,104.55,62.91,58.53,8.76,206.1,173.32,101.84,54.51,36.48,52.13,52.48,220.07,140.17,129.34,105.87,38.76,143.83,116.02,87.73,55.95,36.82,143.05,75.95,268.58,70.35,145.85,146.89,36.74,67.92,39.61,175.79,152.18,42.89,45.62,42.52,79.51,33.43,191.96,55.86,5.12,44.15,97.64,25.79,76.25,72.61,73.62,53.21,108.37,49.75,46.66,35.79,118.46,18.93,48.73,186.57,62.33,20.76,86.78,198.83,116.48,93.89,41.31,108.78,36.74,49.62,25.72,60.11
2018-03-31,39.63,70.1,53.31,145.1,209.13,45.56,10.05,140.04,123.59,72.19,20.14,84.6,314.03,25.67,42.44,2062.17,461.37,49.76,199.48,53.57,126.24,311.22,61.01,29.23,84.98,47.55,172.53,113.4,33.81,50.56,85.35,150.37,95.21,97.67,58.62,57.75,7.97,219.87,188.95,79.33,57.77,32.66,51.4,51.67,218.18,170.72,122.47,106.95,44.02,160.28,107.09,90.68,45.24,35.16,134.17,70.09,284.31,92.51,169.05,134.31,36.01,72.45,36.26,159.18,142.75,37.84,44.55,43.92,85.23,35.21,295.35,62.18,6.08,45.78,89.53,25.5,66.3,69.06,75.87,46.45,107.46,50.42,47.53,33.68,107.8,17.59,62.73,203.03,59.9,17.74,86.81,193.65,117.41,83.18,39.17,114.32,33.57,43.12,31.56,54.17
